DATE,QTY
,
2020-7-12,9295.9
2020-7-15,9193.51
2020-7-18,9174.71
2020-7-21,9392.66
2020-7-24,9551.28
2020-7-27,11042.4
2020-7-30,11114.93
2020-8-2,11077.77
2020-8-5,11750.28
2020-8-8,11767.6
2020-8-11,11392.43
2020-8-14,11774.38
2020-8-17,12293.72
2020-8-20,11865.82
2020-8-23,11653.31
2020-8-26,11467.37
2020-8-29,11481.64
2020-9-1,11923.25
2020-9-4,10467.89
2020-9-7,10367.74
2020-9-10,10352.66
2020-9-13,10330.77
2020-9-16,10948.43
2020-9-19,11081.43
2020-9-22,10532.22
2020-9-25,10692.84
2020-9-28,10692.33
2020-10-1,10619.24
2020-10-4,10673.46
2020-10-7,10670.8
2020-10-10,11302.67
