DATE,QTY
,
2020-8-26,927.78
2020-8-27,930.26
2020-8-28,927.36
2020-8-31,927.48
2020-9-1,926.9
2020-9-2,918.24
2020-9-3,912.63
2020-9-4,917.04
2020-9-7,916.56
2020-9-8,913.78
2020-9-9,916.18
2020-9-10,906.15
2020-9-11,907.25
2020-9-14,909.06
2020-9-15,909.64
2020-9-16,900.38
2020-9-17,900.7
2020-9-21,903.8
2020-9-22,908.46
2020-9-23,906.04
2020-9-24,912.58
2020-9-25,920.05
2020-9-28,914.87
2020-9-29,914.4
2020-9-30,920.73
2020-10-1,923.11
2020-10-2,922.06
2020-10-5,926.77
2020-10-6,935.84
2020-10-7,939.05
2020-10-8,935.9
